,pearson_corr,pearson_p,spearman_corr,spearman_p,mi,rf_imp,perm_imp,vif,combined
dosage,0.17694270781967486,4.75228171707688e-11,0.38485203449020683,2.3628253073115756e-49,0.28400012070975134,0.40075851328544504,0.2672536072389337,1.1019505420891618,0.8289659506935178
NOxygen,-0.5388798789775843,1.6632351407911232e-103,-0.5690697312375296,8.46474836889214e-118,0.21501722402818269,0.1374727806555604,0.011958914159941254,1.5258410493576284,0.525593274862649
surfarea,-0.33731861973839694,1.2740368233791313e-37,-0.41967025377896783,2.8500351021384507e-59,0.2466395926284064,0.11205024757916672,0.019686965028124177,1.6064104759543725,0.4241464833136814
hydrosize,-0.24307484136758284,8.814143729072105e-20,-0.1641378277027118,1.090260682564878e-09,0.2846923390322056,0.0849233197522019,0.0029591587185130368,1.0750890674863507,0.3717918330798799
e,0.3591347389517915,9.27787118053375e-43,0.4829192557519964,1.4857463329562567e-80,0.21464039672819357,0.08792687316025309,0.0007581315725115704,2.25998473806432,0.3475349171517311
Expotime,0.2588088534568965,2.6777786754637433e-22,0.32245031295537074,2.3871157970869623e-34,0.0663996154506421,0.0874219377303372,0.10511127415015892,1.090556010711712,0.3419342095958832
surfcharge,0.2177106607571772,4.3667391181096677e-16,0.22970598518480342,8.866568248886157e-18,0.2746528112095088,0.04439500342725547,0.027732942039618434,1.593267827612842,0.31264727883815285
Ec,-0.029375067677219233,0.27848365030613975,0.32800002524867383,1.504971094690714e-35,0.2173777638496639,0.04505132440978017,0.0007336757153337777,1.518071057043403,0.2357398966810083
